Model,Training Time (min)
mlp_pinball,0.07722499767939249
rnn_pinball,0.08385252157847087
lstm_pinball,0.11656847397486368
gru_pinball,0.10803534587224324
tcn_pinball,0.10689835945765178
mlp_tube,0.058083168665568036
gru_tube,0.12114437818527221
tcn_tube,0.0928075909614563
