Model,Avoided Weekly Loss ($),Logistics Efficiency (%),Annualized ROI (%)
SARIMA_Optimal,1.5025138617824374,7.357767731344356,7.9421313057390215
Seasonal Naive (s=7),0.0,0.0,0.0
"ARMA(2,2)",-0.8078318352204353,-3.9559295662579874,-3.805390979392486
MA(2),-0.8230205743895345,-4.03030839082712,-3.8741674932711163
AR(2),-0.8355318109931569,-4.091575561335703,-3.930746113958819
Moving Average (SMA-7),-1.4900377235392555,-7.296672436510554,-6.800464796173554
Weighted MA,-2.4871221446509093,-12.179366543823743,-10.857046994525309
ARIMA_Optimal (Rolling),-5.833958276465243,-28.568728079262673,-22.220588556845673
